id,year,name,abbreviated_name,type,international_or_national,website,hq_location,year_founded,year_closed,countries_of_operation_count,sector,religious_or_secular,religion,red_cross_code_of_conduct_signatory,chs_member,interaction_member,icva_member,staff,staff_imputed,natl,natl_imputed,intl,intl_imputed,percent_intl,ope_approx_usd,ope_imputed,ope/staff,ope_inflation_adjusted,ope_original_currency,humexp_approx_usd,humexp_imputed,humexp_inflation_adjusted
972,2022,HELFEN-WIR!Verein fur Medizinische und Entwicklungshilfe,NA,INGO,International,NA,Austria,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3970,2022,Hellen Keller International,NA,INGO,International,https://helenkellerintl.org/,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5263,2020,Hidig Relief & Development Organization,HIDIG,NNGO,NA,https://hidig.org/about-us/,Somalia,2000,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200000,A,11320.75,1357135,NA,1188000,A,1343563
3291,2020,Himilo Relief and Development Organization,HIRDA,INGO,National,https://www.hirda.org/en/home/,Somalia,1998,NA,2,NA,NA,NA,NA,NA,NA,NA,300,A,NA,NA,NA,NA,NA,1333333,A,4444.44,1507927,Euro 1200000,333333,A,376981
5865,2017,Hold the Child Organisation,HCO,NNGO,NA,http://holdthechild.ngo,South Sudan,2010,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1420609,A,14645.45,1696362,NA,NA,NA,NA
996,2022,Holt International Children's Services,NA,INGO,International,NA,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
997,2022,HOPE '87,NA,INGO,International,NA,Austria,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6848,2022,Hope and Homes for Children,HHC,INGO,NA,www.hopeandhomes.org,United Kingdom,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999,2012,Hope for the Hungry,HfH,INGO,International,http://www.hopeforthehungry.org,United States,1982,NA,3,Food security/agriculture,Religious,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021038,A,5105.19,1301680,NA,886139,A,1129702
6946,2021,Hope for Ukraine,HFU,INGO,NA,https://hopeforukraine.net,Ukraine,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,A,NA,NA,NA,NA,NA,240000,A,60000,258836,NA,36000,A,38825
6798,2022,Hopes and Homes for Children,HHS,INGO,NA,https://www.hopeandhomes.org,United Kingdom,1994,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5281,2019,Horn of Africa Peace Network,HAPEN,NNGO,NA,https://hapen.ngo/,Somalia,1978,NA,1,NA,NA,NA,NA,NA,NA,NA,42,A,42,A,NA,NA,NA,1545832,A,36805.52,1769792,NA,1082082,A,1238854
1007,2022,Horn of Africa Voluntary Youth Committee,HAVOYOCO,INGO,National,https://www.havoyoco.org,Somalia,1992,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1017,2022,Human Appeal International,HAI,INGO,International,NA,United Kingdom,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6790,2022,Human Relief Foundation,HRF,INGO,NA,https://www.hrf.org.uk,United Kingdom,1991,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6575,2022,Human Resource for Health,HRH 2030,INGO,NA,https://hrh2030program.org,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024,2022,Humanitarian Action for Relief and Development Organisation,NA,INGO,International,NA,Somalia,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5838,2020,Humanitarian Aid for Change and Transformation,HACT,NNGO,NA,www.hactsouthsudan.org,South Sudan,2014,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1679750,A,11349.66,1899706,NA,NA,NA,NA
987,2022,Humanitarian Initiative Just Relief Aid,HIJRA,INGO,National,https://www.hijra.or.ke,Kenya,1991,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1027,2022,humedica e.V. - Germany,NA,INGO,International,NA,Germany,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1035,2022,Hydraulique sans frontières,NA,INGO,National,https://hydrauliquesansfrontieres.org,France,1990,NA,1,NA,NA,NA,NA,NA,NA,NA,55,A,NA,NA,NA,NA,NA,909091,A,16528.93,909091,Euro 800000,NA,NA,NA
1038,2022,IBIS - Denmark,NA,INGO,International,NA,Denmark,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1066,2022,Information Management and Mine Action Programs,IMMAP,INGO,International,NA,United States,1998,NA,1,Landmines,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5252,2019,Initiative for Peace Communication Association,IPCA,NNGO,NA,https://www.ipcasouthsudan.org,South Sudan,2010,NA,1,NA,NA,NA,NA,NA,NA,NA,27,A,27,A,NA,NA,NA,1050000,A,38888.89,1202124,NA,NA,NA,NA
1044,2022,Initiatives de Coopération et d'Appui aux Actions Humanitaires et développement,ICAHD,INGO,NA,https://www.icahd-int.org,NA,2011,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1069,2022,INMED Partnerships for Children,NA,INGO,International,NA,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1070,2022,Innovasjon Norge,NA,INGO,International,NA,Norway,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6858,2022,Innovation Africa,NA,INGO,NA,https://innoafrica.org,NA,2008,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1071,2022,InsideNGO,NA,INGO,International,NA,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4037,2022,Institut Européen de Coopération et de Développement,NA,INGO,International,NA,France,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1078,2022,Institute for Sustainable Communities,NA,INGO,International,NA,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1046,2022,Integrated Community Development International,ICDI,INGO,International,NA,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3971,2022,Inter Aide,IA,INGO,International,http://interaide.org/en/welcome/,France,1980,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1091,2013,"Intermed International, Inc. (d/b/a Dooley Intermed International)",NA,INGO,International,http://www.dooleyintermed.org,United States,1961,NA,4,Health,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240549,A,1879.29,302239,NA,209101,A,262726
1096,2022,International Alert - UK,NA,INGO,International,NA,United Kingdom,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1098,2012,International Association for Human Values,IAHV,INGO,International,http://www.iahv.org/,United States,1997,NA,4,NA,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905343,A,5114.93,1154185,NA,127413,A,162434
1099,2022,International Blue Crescent (IBC) - Turkey,NA,INGO,International,NA,Turkey,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1100,2022,International Campaign to Ban Landmines (ICBL),NA,INGO,International,http://www.icbl.org/en-gb/home.aspx,Switzerland,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1102,2022,International Center for Not-for-Profit Law (ICNL),NA,INGO,International,NA,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104,2022,International Center for Research on Women,NA,INGO,International,NA,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1088,2022,International Christian Aid,ICA,INGO,International,http://www.interaid-inc.org,United States,NA,NA,5,Children/youth,Religious,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,2022,International Christian Ministries,ICM,INGO,International,NA,Kenya,NA,NA,1,NA,Religious,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1108,2022,International Collective in Support of Fishworkers,NA,INGO,International,https://www.icsf.net/,Netherlands,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4999,2022,International Committee for Rehabilitation Aid to Afghanistan,ICRAA,INGO,International,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1110,2022,International Community of Women living with HIV/AIDS Southern Africa (ICW Southern Africa),NA,INGO,International,https://www.icwea.org/,South Africa,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4120,2022,International Council of Voluntary Agencies,NA,INGO,International,NA,Switzerland,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1111,2012,International Crisis Aid,ICA,INGO,International,http://www.crisisaid.org,United States,2000,NA,5,Food security/agriculture,Religious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1524388,A,5115.4,1943380,NA,1383386,A,1763622
1112,2022,International Development Association,NA,INGO,International,https://ida.worldbank.org/en/home,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1113,2022,International Development Enterprise,IDE,INGO,International,https://www.ideglobal.org,NA,1982,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1114,2017,International Emergency and Development Aid Relief,IEDA Relief,INGO,International,http://iedarelief.org/,United States,2008,NA,12,NA,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4564600,A,43890.38,5450630,NA,NA,NA,NA
1116,2022,International Foundation for Electoral Systems,NA,INGO,International,NA,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4445,2022,International Friendship Development Organization,NA,INGO,International,NA,Cambodia,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1117,2022,International Fund for Agricultural Development (IFAD),NA,INGO,International,https://www.ifad.org/en/,Italy,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1118,2022,"International Fund for Animal Welfare, Inc. (IFAW)",NA,INGO,International,NA,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1119,2022,International Health Exchange (IHE) - UK,NA,INGO,International,NA,United Kingdom,NA,NA,1,Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1121,2022,International Housing Coalition,NA,INGO,International,NA,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1123,2022,International Institute for Sustainable Development (IISD),NA,INGO,International,https://www.iisd.org/,Switzerland,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4076,2022,International Institute of Humanitarian Law,NA,INGO,International,NA,Italy,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1124,2022,International Islamic Relief Organisation,NA,INGO,International,NA,Saudi Arabia,NA,NA,1,NA,Religious,Islamic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1125,2022,International Kolping Society,NA,INGO,International,https://www.kolping.net/en/,Germany,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1126,2022,International Legal Assistance Consortium,NA,INGO,International,https://ilacnet.org/,Sweden,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1127,2022,International Media Support,IMS,INGO,International,https://www.mediasupport.org/,Denmark,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1129,2008,International Medical Health Organization,IMHO,INGO,International,http://www.theimho.org,United States,2004,NA,4,Health,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499077,A,71296.71,678485,NA,NA,NA,NA
3340,2022,International Missions Outreach,NA,INGO,International,NA,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1130,2022,International Needs Australia (INA),NA,INGO,International,https://ina.org.au/,Australia,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1131,2022,International Organisation of Supreme Audit Institutions (Intosai/IDI),NA,INGO,International,https://www.intosai.org/,Austria,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1133,2018,International Partnership for Human Development,IPHD,INGO,International,http://www.iphd.org,United States,1983,NA,11,NA,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1601861,A,32037.22,1867243,NA,NA,NA,NA
4012,2022,International Practical-Scientific Legal Centre,NA,INGO,International,NA,Azerbaijan,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1134,2022,International Rehabilitation Council for Torture Victims,IRCT,INGO,International,https://irct.org/,Denmark,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1138,2022,International Rescue Corps - UK,NA,INGO,International,NA,United Kingdom,NA,NA,1,NA,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4072,2022,International Service Volunteer's Ass.,NA,INGO,International,NA,Italy,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4066,2022,International Social Service,NA,INGO,International,NA,China,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4080,2022,International Social Service,NA,INGO,International,NA,Japan,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1143,2022,International Solidarity Foundation,NA,INGO,International,https://solidaarisuus.fi/en/,Finland,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1144,2022,International Treatment Prepardness Coalition,ITPC,INGO,International,https://itpcglobal.org/,South Africa,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1145,2022,International Union Against Tuberculosis and Lung Disease,The Union,INGO,International,https://theunion.org/,France,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1146,2022,International Women's  Development Agency (IWDA),NA,INGO,International,https://iwda.org.au/,Australia,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1147,2022,International Work Group for Indigenous Affairs,IWGIA,INGO,International,https://www.iwgia.org/en/,Denmark,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1148,2022,International Youth Foundation,NA,INGO,International,NA,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1149,2022,Internationale Vredesinformatie Dienst,NA,INGO,International,https://ipisresearch.be/,Belgium,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1154,2022,IntraHealth International,NA,INGO,International,http://www.intrahealth.org/,United States,NA,NA,45,Health,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6770,2022,Islamic Help,NA,INGO,NA,https://www.islamichelp.org.uk,United Kingdom,NA,NA,1,NA,Religious,Islamic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5223,2019,J'ai Reve Foundation,JRF,NNGO,NA,NA,Central African Republic,2014,NA,1,NA,NA,NA,NA,NA,NA,NA,46,A,46,A,NA,NA,NA,121000,A,2630.43,138530,NA,NA,NA,NA
1174,2022,Japan America Society,NA,INGO,International,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1177,2022,Japan Center for Conflict Prevention (JCCP),NA,INGO,International,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1179,2022,Japan International Friendship and Welfare Foundation,NA,INGO,International,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1190,2022,Jewish Federation of Metropolitan Chicago,NA,INGO,International,NA,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1191,2022,Jhpiego,NA,INGO,International,http://www.jhpiego.org/,United States,1974,NA,36,Health,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5512,2022,Jiyan Foundation for Human Rights,Jiyan,INGO,NA,www.jiyan-foundation.org,Iraq,2005,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3975,2022,John Dau Foundation,NA,INGO,International,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5011,2013,Joint Development Associates International,JDA,INGO,International,http://www.jdainternational.org,United States,1992,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,820470,A,1873.22,1030884,NA,674512,A,847494
6859,2022,Jonathans?s House for Orphans,NA,INGO,NA,https://www.jonathanshouse.org,NA,2011,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2272,2020,Juba Foundation,NA,NNGO,National,https://jubafoundation.org,Somalia,2004,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700000,A,11333.33,1922607,NA,NA,NA,NA
6623,2022,Justice for Children Trust,NA,INGO,NA,https://justiceforchildren.org,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4653,2019,Kaalo Aid and Development Organization,KAALO,NNGO,National,http://www.kaalo.org,Somalia,1991,NA,1,NA,NA,NA,NA,NA,NA,NA,32,A,32,A,NA,NA,NA,1700000,A,53125,1946296,NA,850000,A,973148
5307,2019,Karenni Women's Organization,KNWO,INGO,NA,https://knwo.wordpress.com,Thailand,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,242,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4446,2022,Kazakhstan International Bureau on Human Rights & Rule of Law,NA,INGO,International,NA,Kazakhstan,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1218,2022,Kerkinactie - Netherlands,NA,INGO,International,NA,Netherlands,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1224,2008,"Kids in Need of Development, Education, and Relief USA",KINDER USA,INGO,International,http://kinderusa.org,United States,NA,NA,3,Children/youth,Religious,Islamic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505241,A,72177.29,686865,NA,NA,NA,NA
1228,2010,Kohsar Welfare & Educational Society,KWES,INGO,International,NA,Pakistan,1997,2021,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125000,A,5681.82,167789,NA,NA,NA,NA
451,2022,Kokkyo naki Kodomotachi/Children without Borders,KnK,INGO,International,NA,NA,NA,NA,1,Children/youth,Religious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6880,2020,Kopernik,NA,NNGO,NA,http://kopernik.info/,Indonesia,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1524296,A,2756.41,1723896,NA,NA,NA,NA
1232,2022,Korean American Sharing Movement,NA,INGO,International,NA,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3976,2022,La Nostra Famiglia,NA,INGO,International,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6911,2020,La Strada,NA,INGO,NA,http://lastradainternational.org/,Netherlands,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92032,A,1508.72,104083,Euro 82829,NA,NA,NA
1248,2022,Landmine Action - UK,NA,INGO,International,NA,United Kingdom,NA,NA,1,Landmines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3978,2022,Le Kinkeliba,NA,INGO,International,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1266,2010,Lebanese Association for Popular Action (AMEL Association),AMEL,INGO,International,https://amel.org/contact/,Lebanon,1979,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1528345,A,5745.66,2051522,NA,NA,NA,NA
3979,2022,Leigos para o Desenvolvimento,NA,INGO,International,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3980,2022,Leprosy Control Organization,NA,INGO,International,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1280,2022,"Life & Peace Institute, Sweden",NA,INGO,International,NA,Sweden,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1292,2022,Lutheran Immigration and Refugee Service,LIRS,INGO,International,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1295,2013,Lutheran World Service India Trust,LWSIT,NNGO,National,http://lwsit.org,India,1974,NA,1,NA,Religious,Christian,NA,1,NA,NA,130,A,NA,NA,NA,NA,NA,1729314,A,13302.42,2172805,Euro 1314279,NA,NA,NA
4136,2022,Magee WomanCare International,NA,INGO,International,NA,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1311,2010,Management Accounting for Non Governmental Organisations,MANGO,INGO,International,http://www.mango.org.uk,United Kingdom,NA,NA,1,Logistics/Communications,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1633884,A,2073.46,2193188,GBP 1056983,NA,NA,NA
1314,2022,Manos Unidas - Spain,NA,INGO,International,NA,Spain,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1317,2012,MapAction,NA,INGO,International,http://www.mapaction.org/,United Kingdom,NA,NA,60,Logistics/Communications,Secular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646416,A,1831.21,824089,GBP 413706,578739,A,737811
4153,2022,Mapendo International,NA,INGO,International,NA,United States,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
